X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID,ADDRESS
-77.020870648151984,38.884490257976942,192,mstn_022,L'ENFANT PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SOUTH SIDE OF D STREET SW BETWEEN 6TH STREET SW AND 7TH STREET SW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"green, yellow, orange, blue, silver",294875,"400 7TH STREET SW, WASHINGTON, DC 20024"
-77.029198356272758,38.916830742005757,193,mstn_005,U ST | AFRICAN AMER CIVIL WAR MEM | CARDOZO,http://www.wmata.com/rail/station_detail.cfm?station_id=73,SE CORNER  OF U STREET NW AND 13TH STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"green,yellow",294840,"1240 U STREET NW, WASHINGTON, DC 20009"
-76.955602274301597,38.964807802185945,194,mstn_072,PRINCE GEORGES PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=78,SW CORNER OF EAST-WEST HWY AND BELCREST CENTER DR ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,green,,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD 20782"
-76.89120225055774,38.933407799412144,195,mstn_063,LANDOVER,http://www.wmata.com/rail/station_detail.cfm?station_id=67,EAST SIDE OF US-50 E,,Metro Station Entrance,2016-01-08T00:00:00.000Z,orange,,"3000 PENNSY DRIVE, HYATTSVILLE, MD 20785"
-77.120702332593254,39.062107816312135,196,mstn_080,TWINBROOK,http://www.wmata.com/rail/station_detail.cfm?station_id=16,WEST SIDE OF CHAPMAN AVE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"1600 CHAPMAN AVENUE, ROCKVILLE, MD 20852"
-77.015987031673106,38.895321817776299,197,mstn_021,JUDICIARY SQUARE,http://www.wmata.com/rail/station_detail.cfm?station_id=23,NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294829,"435 4TH STREET NW, WASHINGTON, DC 20001"
-77.053604402795813,39.06179020999479,198,mstn_057,GLENMONT,http://www.wmata.com/rail/station_detail.cfm?station_id=34,WEST SIDE OF GEORGIA AVE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"12502 GEORGIA AVENUE, SILVER SPRING, MD 20906"
-77.006156411276379,38.88518993761889,199,mstn_004,CAPITOL SOUTH ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=59,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294860,"355 FIRST STREET SE, WASHINGTON, DC 20003"
-77.039179553620855,38.902781481058803,200,mstn_012,FARRAGUT NORTH,http://www.wmata.com/rail/station_detail.cfm?station_id=4,NE CORNER OF 17TH STREET NW AND K STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294828,"1705 K STREET NW, WASHINGTON, DC 20036"
-77.022100012014604,38.885985398230893,201,mstn_022,L'ENFANT PLAZA ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SW CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"green, yellow, orange, blue, silver",294875,"600 MARYLAND AVENUE SW, WASHINGTON, DC 20024"
-77.028437439652137,38.889078278016797,202,mstn_033,SMITHSONIAN,http://www.wmata.com/rail/station_detail.cfm?station_id=54,JEFFERSON DRIVE SW BETWEEN 12TH ST SW and 13TH ST NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294876,"1201 JEFFERSON DRIVE SW, WASHINGTON, DC 20004"
-77.028535901562222,38.887756963490283,203,mstn_033,SMITHSONIAN ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=54,NW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,"blue, orange, silver",294876,"1200 INDEPENDENCE AVENUE SW, WASHINGTON, DC 20004"
-77.079363388412332,38.948085117870839,204,mstn_036,TENLEYTOWN | AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,NE CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294846,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC 20016"
-77.080171145636157,38.948316786715466,205,mstn_036,TENLEYTOWN | AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,WISCONSIN AVENUE NW BETWEEN RIVER RD NW AND ALBEMARLE ST NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294846,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC 20016"
-77.063574350587999,38.944630821217473,206,mstn_038,VAN NESS | UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,NE CORNER OF CONNECTICUT AVENUE NW AND VEAZEY TERRACE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294824,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-77.052365292724488,38.924468114176264,207,mstn_040,WOODLEY PARK | ZOO | ADAMS MORGAN,http://www.wmata.com/rail/station_detail.cfm?station_id=7,SW CORNER OF CONNECTICUT AVENUE NW AND 24TH STREET NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294827,"2700 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-77.097121843956813,38.999056710493171,208,mstn_066,MEDICAL CENTER ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=13,SW SIDE OF SOUTH DR AND ROCKVILLE PIKE ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,,"8810 ROCKVILLE PIKE, BETHESDA, MD 20814"
-77.111362954663804,38.88187609594452,209,mstn_046,BALLSTON,http://www.wmata.com/rail/station_detail.cfm?station_id=99,SE CORNER OF N STUART ST AND N FAIRFAX DR,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201"
-77.06403252795225,38.944539370101921,210,mstn_038,VAN NESS | UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,NW CORNER OF CONNECTICUT AVENUE AND VEAZEY TERRACE NW,1370,Metro Station Entrance,2016-01-08T00:00:00.000Z,red,294824,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008"
-77.112124257552878,38.882399176466336,211,mstn_046,BALLSTON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=99,NW CORNER OF N FAIRFAX DR AND N STUART ST ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201"
-77.112139745406125,38.882352840991935,212,mstn_046,BALLSTON ELEVATOR,http://www.wmata.com/rail/station_detail.cfm?station_id=99,NW CORNER OF N FAIRFAX DR AND N STUART ST ,,Metro Station Entrance,2016-01-08T00:00:00.000Z,"orange, silver",,"4230 FAIRFAX DRIVE, ARLINGTON, VA 22201"
