,MSSR_1.0,Turnover,PctOfHomesIncreasingInValues,mimi,HS_StudentTeachRatio,MS_StudentTeachRatio,count_metro_bus_km,PriceIndex,FreddieMac15yr,distance_public_school_arts_center_km,MSSR_2.0,ListDate_dt_month,HSSR_1.0,CloseDate_dt_month,qcut_CloseDate_dt_month
11313,0.0,3.7148,17.5,68.9,12.6,9.7,68,170.1945226,4.28,3.1669797004,0.0,5,0.0,6,0
11314,0.0,3.5124,83.24,67.6,15.2,15.0,18,174.6158156,2.86,4.6069358309,0.0,8,0.0,8,0
11315,0.0,4.2428,61.74,68.0,13.2,11.9,28,169.4708133,4.04,3.5434079883,0.0,7,0.0,4,0
11316,0.0,5.7433,92.62,80.3,13.9,14.6,44,190.6250739,3.36,3.8767267908,0.0,3,0.0,3,0
11317,1.0,4.8376,95.72,79.8,15.1,13.4,67,188.9390719,3.35,3.462541994,0.0,2,0.0,3,0
11318,0.0,4.2806,27.52,67.0,14.8,13.5,30,168.14317490000005,3.46,3.4886392483,0.0,8,0.0,12,0
11319,0.0,4.414,62.25,67.5,13.2,11.9,29,167.9615905,3.91,3.5242806236,0.0,8,0.0,9,0
11320,1.0,5.3809,12.29,68.6,10.0,11.9,80,164.18939319999996,4.06,9.3590273522,0.0,12,1.0,12,0
11321,1.0,4.2723,91.85,77.3,15.5,11.5,80,189.27894,3.43,9.3590273522,0.0,7,1.0,9,0
11322,1.0,3.8066,28.15,67.2,15.5,11.5,80,171.19616330000005,3.03,9.3590273522,0.0,5,1.0,8,0
11323,0.0,3.8951,65.15,78.8,13.0,14.6,80,193.6113816,3.19,9.3590273522,1.0,11,1.0,11,0
11324,1.0,4.374,26.44,69.5,11.7,9.0,71,166.5574036,4.06,1.0381692944,0.0,4,0.0,4,0
11325,0.0,4.2989999999999995,45.17,66.8,13.2,13.1,40,165.25843500000005,3.68,5.6117846389,0.0,11,0.0,3,0
11326,1.0,5.1186,12.41,68.0,7.1,11.5,82,168.89499540000003,3.69,9.6890717011,0.0,6,1.0,8,0
11327,1.0,5.1633,15.51,68.7,7.1,11.5,53,168.16883080000005,3.82,10.6959587349,0.0,5,1.0,5,0
11328,1.0,6.7594,96.74,80.5,10.5,9.0,77,188.1721628,3.48,0.9318965115,0.0,12,1.0,3,0
11329,1.0,4.4269,26.32,69.5,11.7,9.0,66,164.60666940000004,4.08,2.4535218428,0.0,3,0.0,4,0
11330,0.0,6.9305,49.87,69.5,15.0,11.5,101,166.5574036,4.06,4.5390460907,1.0,4,1.0,5,0
11331,0.0,9.9228,37.18,68.7,12.6,6.7,116,170.4751925,4.18,4.4886771863,1.0,6,0.0,6,0
11332,1.0,4.4684,28.26,68.6,11.7,9.0,76,163.3011429,4.09,1.9339908756,0.0,1,0.0,4,0
11333,1.0,5.6362,98.12,78.1,10.5,9.0,74,189.236479,3.27,1.8654837693,0.0,10,1.0,12,0
11334,1.0,4.5284,71.81,78.8,15.1,13.4,74,194.1442297,3.21,2.9213667979,0.0,10,0.0,10,0
11335,1.0,4.0058,88.87,72.6,15.5,11.5,86,185.6306252,2.72,10.0797326738,0.0,5,1.0,7,0
11336,1.0,3.7737,74.75,69.4,15.5,11.5,86,175.2482939,2.7,10.0797326738,0.0,1,1.0,3,0
11337,1.0,3.7737,64.57,67.9,15.5,11.5,86,174.9641855,2.66,10.0797326738,0.0,11,1.0,4,0
11338,1.0,4.7516,10.44,67.0,7.1,11.5,86,168.14317490000005,3.46,10.0797326738,0.0,8,1.0,8,0
11339,0.0,3.7566,82.35,67.7,15.2,13.5,31,175.0512181,2.69,3.1253480573,0.0,10,0.0,10,0
11340,0.0,4.224,29.82,68.0,14.8,13.5,20,168.7131123,3.68,2.8076517780000003,0.0,7,0.0,8,0
11341,0.0,4.2989999999999995,45.17,66.8,13.2,11.9,30,165.25843500000005,3.68,3.355860135,0.0,11,0.0,1,0
11342,0.0,4.444,53.52,78.8,13.9,12.4,28,194.1442297,3.21,3.8556076607,0.0,10,0.0,10,0
11343,0.0,4.9707,67.1,67.2,15.2,13.5,18,171.19616330000005,3.03,2.5055665229,0.0,5,0.0,6,0
