,Bedrooms,distance_public_school_mid_km,distance_public_school_elem_km,distance_public_school_edu_campus_km,distance_metro_station_km,distance_metro_bus_km,distance_grocery_km,distance_cap_gain_school_km,count_metro_bus_km,AvgFamilyIncAdj_2010_14,mimi,FreddieMac15yr,PriceIndex,zip_20007,BathsHalf,PctOfHomesDecreasingInValues,MedianValuePerSqft,SaleCount,TaxTotalLivingArea,BathsFull,Levels,TotalTaxes2,Fireplaces,Acres,DOMP,ListPrice2,qcut_ListPrice2
12576,5,2.0627094294,0.6347794943,7.2959822774,1.6158085414,0.062422292699999986,0.7397042274,3.7923744848,64,264688.0,79.6,3.29,194.8306605,0.0,1.0,6.01,484.0,1,2856.0,4,4,9661.0,2,0.156,51,999990,0
12577,3,2.1467880691,0.5020231363000001,7.108350466799999,2.0382676469,0.2059014643,1.0613944523,3.2161200273,53,264688.0,68.6,4.06,164.18939319999996,0.0,0.0,35.77,436.0,1,1762.0,2,4,6598.0,1,0.124,35,759000,0
12578,4,2.1747915745,0.5349432074,7.1030622313,2.0918780408,0.153360681,1.1108025615,3.1615529439,54,264688.0,80.1,3.48,188.1609222,0.0,0.0,5.41,473.0,1,1627.0,2,4,6312.0,2,0.157,61,869000,0
12579,3,2.2416942722,0.6150698021000001,7.1126748773,2.1934894375,0.0705195808,1.2082331513,3.0748035426,55,264688.0,68.7,3.82,168.16883080000005,0.0,0.0,41.76,432.0,1,1194.0,2,3,5860.0,1,0.125,55,699000,0
12580,6,2.1191178296,0.47324229,7.1052505487,1.9933369621,0.2517908119,1.0192269436,3.2555699531,57,264688.0,77.3,3.43,189.27894,0.0,1.0,5.65,457.0,1,2893.0,3,4,8724.0,2,0.155,5,1195000,0
12581,2,1.7049044988,0.7413501390999999,5.1455167195,0.3155547108,0.18145375940000005,3.0039586724,1.7048883645,66,52687.0,79.0,3.31,194.4612831,0.0,0.0,21.76,196.0,2,800.0,2,3,1207.0,0,0.062,6,229999,0
12582,3,2.2261374349,0.6150691093999999,7.065048450700001,2.214237728,0.0297232809,1.223303568,3.0160818892,55,264688.0,75.5,3.17,187.9588779,0.0,0.0,5.93,455.0,1,1426.0,2,3,5468.0,1,0.111,6,769000,0
12583,3,2.3059211023,0.7084535486,7.095191268200001,2.3127490175,0.055107135,1.3211082358,2.9491898134,53,264688.0,69.5,4.06,166.5574036,0.0,2.0,41.19,431.0,1,2264.0,2,3,6988.0,2,0.13,27,869000,0
12584,2,1.5667982753999998,0.9453379138,5.3354841685,0.4462046770000001,0.0439414735,1.7586065216,2.4561934018,70,82854.0,66.8,3.68,165.25843500000005,0.0,0.0,47.52,240.0,1,816.0,1,3,2183.0,0,0.044,0,85000,0
12585,3,1.3428871401,0.5383489649000001,2.5926987390000003,0.6641895836,0.1102982609,0.9156145041,1.865247839,87,82854.0,67.0,3.2,165.9509441,0.0,0.0,30.06,234.0,1,1350.0,1,3,2529.0,0,0.037000000000000005,21,290000,0
12586,1,1.336102118,0.5197798133,2.6913147060000004,0.7187410923,0.0779039287,0.994593525,1.7535611428,86,82854.0,72.6,2.72,185.6306252,0.0,0.0,1.35,257.0,1,502.0,1,1,1044.0,0,0.0,73,89000,0
12587,1,1.336102118,0.5197798133,2.6913147060000004,0.7187410923,0.0779039287,0.994593525,1.7535611428,86,82854.0,79.0,3.24,195.8744368,0.0,0.0,6.71,303.0,1,565.0,1,1,905.0,0,0.0,6,134900,0
12588,1,1.336102118,0.5197798133,2.6913147060000004,0.7187410923,0.0779039287,0.994593525,1.7535611428,86,82854.0,67.6,2.86,174.6158156,0.0,0.0,10.76,240.0,2,565.0,1,1,1316.0,0,0.0,138,77000,0
12589,1,1.336102118,0.5197798133,2.6913147060000004,0.7187410923,0.0779039287,0.994593525,1.7535611428,86,82854.0,71.5,2.66,182.5429545,0.0,0.0,1.44,253.0,1,587.0,1,1,1161.0,0,0.0,11,89000,0
12590,1,1.336102118,0.5197798133,2.6913147060000004,0.7187410923,0.0779039287,0.994593525,1.7535611428,86,82854.0,79.0,3.31,194.4612831,0.0,0.0,15.69,306.0,1,502.0,1,1,836.0,0,0.0,104,139000,0
12591,3,1.243033983,0.5715036794,2.8615298016,0.8751234934000001,0.1426559787,0.9177293418,3.5603660151,83,93034.0,67.1,3.14,168.5979178,0.0,0.0,9.96,344.0,2,1340.0,2,3,2732.0,0,0.051,1,369000,0
