,PctOfHomesDecreasingInValues,distance_grocery_km,distance_public_school_arts_center_km,distance_public_school_ye_km,ListPrice2_delta,FreddieMac15yr,PriceIndex,distance_cap_gain_school_km,SaleCount,TaxTotalLivingArea,count_metro_station_km,YearBuilt,Acres,Bedrooms,BasementY/N,Fireplaces,TotalTaxes2,DOMP,qcut_DOMP
1239,23.89,0.4885215604,2.4988417572,2.6254923592,0.35956493921944976,2.95,173.0314193,2.4988488506,1,863.0,11,1974,0.0,1,0,0,3412.0,7,0
1240,50.04,0.4885215604,2.4988417572,2.6254923592,0.2034112444725205,3.46,168.14317490000005,2.4988488506,1,863.0,11,1974,0.0,1,0,0,3250.0,86,0
1241,1.77,0.4885215604,2.4988417572,2.6254923592,0.281371087928465,3.49,189.6382211,2.4988488506,1,779.0,11,1974,0.0,1,0,0,3109.0,7,0
1242,1.77,0.4885215604,2.4988417572,2.6254923592,0.34098360655737703,3.49,189.6382211,2.4988488506,1,863.0,11,1974,0.0,1,0,0,3184.0,6,0
1243,45.42,0.4885215604,2.4988417572,2.6254923592,0.22144670050761425,4.22,163.3624446,2.4988488506,1,837.0,11,1974,0.0,1,0,0,636.0,6,0
1244,3.11,0.5535571352,1.2714452347,1.3673579319,0.01832569762598917,3.27,189.236479,3.475171649,1,928.0,6,1910,0.0,2,0,1,3856.0,38,0
1245,3.11,0.5535571352,1.2714452347,1.3673579319,0.5597667638483965,3.27,189.236479,3.475171649,1,1874.0,6,1910,0.0,3,0,0,7028.0,17,0
1246,73.05,1.4937806969,5.202527100299999,4.389202507,0.3211292456991619,3.69,168.89499540000003,1.0908285575,1,2246.0,0,1929,0.151,4,1,1,4912.0,17,0
1247,2.04,0.16763212519999998,3.1000744689,1.6297662333,2.1452535264963783,3.35,188.9390719,2.5494553397,1,2462.0,10,2013,0.039,3,1,0,2303.0,41,0
1248,45.02,1.2828625988,8.2290466403,1.8509670927,0.07932541824069078,3.03,171.19616330000005,2.7139346909,2,1232.0,1,1926,0.026,3,1,0,1499.0,28,0
1249,67.78,0.4930816329,0.6180714677,0.3695624975,1.273170731707317,4.04,169.4708133,2.2757058176,2,1718.0,3,1917,0.07200000000000001,4,1,1,4212.0,18,0
1250,3.79,0.6159798419,5.0173516939,0.9524616778,0.2669567443050934,2.7,175.2482939,1.2896641124,2,1476.0,0,1932,0.032,3,1,0,2568.0,0,0
1251,38.74,1.7517730454,8.6533772646,2.3253194947,-0.22126745435016112,2.95,173.0314193,3.0678419001,1,1121.0,3,1905,0.026,3,0,0,1535.0,211,0
