RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,Turnover
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-10,11.509
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-11,11.5904
66133,20009,Washington,DC,Washington,District of Columbia,34,2006-12,11.037
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-01,11.0207
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-02,10.5811
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-03,10.2719
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-04,10.3858
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-05,10.3044
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-06,10.3939
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-07,10.8986
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-08,10.9311
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-09,11.1021
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-10,11.0695
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-11,11.1509
66133,20009,Washington,DC,Washington,District of Columbia,34,2007-12,11.1021
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-01,11.1265
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-02,10.8009
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-03,10.5893
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-04,10.1498
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-05,9.7916
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-06,9.5068
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-07,8.7742
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-08,8.0742
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-09,7.7242
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-10,7.4963
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-11,7.0161
66133,20009,Washington,DC,Washington,District of Columbia,34,2008-12,6.7882
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-01,6.194
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-02,6.1452
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-03,5.9661
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-04,5.8359
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-05,5.7948
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-06,5.9265
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-07,6.5023
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-08,6.7599
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-09,6.742
66133,20009,Washington,DC,Washington,District of Columbia,34,2009-10,6.9026
