RegionName,StateName,Month,Sales
20004,DC,2011-04,5
20004,DC,2011-05,5
20004,DC,2011-06,5
20004,DC,2011-07,4
20004,DC,2011-08,5
20004,DC,2011-09,6
20004,DC,2011-10,6
20004,DC,2011-11,1
20004,DC,2011-12,5
20004,DC,2012-01,2
20004,DC,2012-02,1
20004,DC,2012-03,4
20004,DC,2012-04,4
20004,DC,2012-05,6
20004,DC,2012-06,3
20004,DC,2012-07,3
20004,DC,2012-08,12
20004,DC,2012-09,7
20004,DC,2012-10,7
20004,DC,2012-11,10
20004,DC,2012-12,3
20004,DC,2013-01,3
20004,DC,2013-02,7
20004,DC,2013-03,3
20004,DC,2013-04,6
20004,DC,2013-05,8
20004,DC,2013-06,3
20004,DC,2013-07,12
20004,DC,2013-08,9
20004,DC,2013-09,6
20004,DC,2013-10,4
20004,DC,2013-11,5
20004,DC,2013-12,7
20004,DC,2014-01,2
20004,DC,2014-02,1
20004,DC,2014-03,4
20004,DC,2014-04,4
20004,DC,2014-05,7
20004,DC,2014-06,15
20004,DC,2014-07,4
20004,DC,2014-08,6
20004,DC,2014-09,4
20004,DC,2014-10,5
20004,DC,2014-11,9
20004,DC,2014-12,4
20004,DC,2015-01,2
20004,DC,2015-02,5
20004,DC,2015-03,3
20004,DC,2015-04,9
20004,DC,2015-05,7
20004,DC,2015-06,7
20004,DC,2015-07,7
20004,DC,2015-08,8
20004,DC,2015-09,8
20004,DC,2015-10,7
20004,DC,2015-11,1
20004,DC,2015-12,10
20004,DC,2016-01,1
20004,DC,2016-02,5
20004,DC,2016-03,5
20004,DC,2016-04,5
20004,DC,2016-05,9
20004,DC,2016-06,1
20005,DC,2008-06,25
20005,DC,2008-07,27
20005,DC,2008-08,22
20005,DC,2008-09,13
20005,DC,2008-10,15
20005,DC,2008-11,18
20005,DC,2008-12,13
20005,DC,2009-01,13
20005,DC,2009-02,10
20005,DC,2009-03,16
20005,DC,2009-04,21
20005,DC,2009-05,15
20005,DC,2009-06,13
20005,DC,2009-07,27
20005,DC,2009-08,28
20005,DC,2009-09,21
20005,DC,2009-10,21
20005,DC,2009-11,21
20005,DC,2009-12,32
20005,DC,2010-01,16
20005,DC,2010-02,15
20005,DC,2010-03,20
20005,DC,2010-04,16
20005,DC,2010-05,35
20005,DC,2010-06,32
20005,DC,2010-07,22
20005,DC,2010-08,22
20005,DC,2010-09,17
20005,DC,2010-10,20
20005,DC,2010-11,15
20005,DC,2010-12,8
20005,DC,2011-01,7
20005,DC,2011-02,5
20005,DC,2011-03,14
20005,DC,2011-04,11
20005,DC,2011-05,20
20005,DC,2011-06,19
20005,DC,2011-07,13
20005,DC,2011-08,12
20005,DC,2011-09,17
20005,DC,2011-10,8
20005,DC,2011-11,17
20005,DC,2011-12,17
20005,DC,2012-01,11
20005,DC,2012-02,12
20005,DC,2012-03,27
20005,DC,2012-04,12
20005,DC,2012-05,17
20005,DC,2012-06,21
20005,DC,2012-07,24
20005,DC,2012-08,19
20005,DC,2012-09,26
20005,DC,2012-10,30
20005,DC,2012-11,27
20005,DC,2012-12,17
20005,DC,2013-01,22
20005,DC,2013-02,14
20005,DC,2013-03,26
20005,DC,2013-04,20
20005,DC,2013-05,21
20005,DC,2013-06,31
20005,DC,2013-07,23
20005,DC,2013-08,31
20005,DC,2013-09,18
20005,DC,2013-10,28
20005,DC,2013-11,11
20005,DC,2013-12,19
20005,DC,2014-01,6
20005,DC,2014-02,8
20005,DC,2014-03,14
20005,DC,2014-04,13
20005,DC,2014-05,20
20005,DC,2014-06,18
20005,DC,2014-07,24
20005,DC,2014-08,17
20005,DC,2014-09,18
20005,DC,2014-10,24
20005,DC,2014-11,17
20005,DC,2014-12,17
20005,DC,2015-01,8
20005,DC,2015-02,13
20005,DC,2015-03,18
20005,DC,2015-04,23
20005,DC,2015-05,15
20005,DC,2015-06,20
20005,DC,2015-07,18
20005,DC,2015-08,14
20005,DC,2015-09,21
20005,DC,2015-10,15
20005,DC,2015-11,137
20005,DC,2015-12,20
20005,DC,2016-01,8
20005,DC,2016-02,12
20005,DC,2016-03,19
20005,DC,2016-04,22
20005,DC,2016-05,22
20005,DC,2016-06,18
20006,DC,2008-06,1
20006,DC,2008-07,1
20006,DC,2008-08,2
20006,DC,2008-09,
20006,DC,2008-10,3
20006,DC,2008-11,1
20006,DC,2008-12,
20006,DC,2009-01,
20006,DC,2009-02,
20006,DC,2009-03,
20006,DC,2009-04,1
20006,DC,2009-05,1
20006,DC,2009-06,
20006,DC,2009-07,
20006,DC,2009-08,2
20006,DC,2009-09,2
20006,DC,2009-10,
20006,DC,2009-11,2
20006,DC,2009-12,1
20006,DC,2010-01,
20006,DC,2010-02,1
20006,DC,2010-03,
20006,DC,2010-04,1
20006,DC,2010-05,
20006,DC,2010-06,2
20006,DC,2010-07,
20006,DC,2010-08,
20006,DC,2010-09,1
20006,DC,2010-10,
20006,DC,2010-11,
20006,DC,2010-12,1
20006,DC,2011-01,1
20006,DC,2011-02,
20006,DC,2011-03,
20006,DC,2011-04,2
20006,DC,2011-05,
20006,DC,2011-06,
20006,DC,2011-07,
20006,DC,2011-08,2
20006,DC,2011-09,2
20006,DC,2011-10,
20006,DC,2011-11,
20006,DC,2011-12,
20006,DC,2012-01,
20006,DC,2012-02,1
20006,DC,2012-03,2
20006,DC,2012-04,
20006,DC,2012-05,2
20006,DC,2012-06,
20006,DC,2012-07,2
20006,DC,2012-08,1
20006,DC,2012-09,1
20006,DC,2012-10,1
20006,DC,2012-11,
20006,DC,2012-12,
20006,DC,2013-01,
20006,DC,2013-02,
20006,DC,2013-03,1
20006,DC,2013-04,4
20006,DC,2013-05,
20006,DC,2013-06,1
20006,DC,2013-07,
20006,DC,2013-08,3
20006,DC,2013-09,
20006,DC,2013-10,
20006,DC,2013-11,
20006,DC,2013-12,
20006,DC,2014-01,
20006,DC,2014-02,
20006,DC,2014-03,
