RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,HomesSoldAsForeclosuresRatio
66133,20009,Washington,DC,Washington,District of Columbia,26,2012-10,
66133,20009,Washington,DC,Washington,District of Columbia,26,2012-11,
66133,20009,Washington,DC,Washington,District of Columbia,26,2012-12,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-01,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-02,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-03,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-04,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-05,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-06,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-07,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-08,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-09,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-10,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-11,
66133,20009,Washington,DC,Washington,District of Columbia,26,2013-12,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-01,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-02,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-03,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-04,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-05,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-06,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-07,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-08,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-09,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-10,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-11,
66133,20009,Washington,DC,Washington,District of Columbia,26,2014-12,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-01,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-02,0.61
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-03,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-04,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-05,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-06,
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-07,0.959
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-08,0.6713
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-09,1.3901
66133,20009,Washington,DC,Washington,District of Columbia,26,2015-10,0.7717
