RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesDecreasingInValues
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-06,66.9
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-07,62.4
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-08,58.68
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-09,53.45
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-10,50.68
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-11,46.42
66133,20009,Washington,DC,Washington,District of Columbia,25,2009-12,42.43
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-01,32.35
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-02,28.28
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-03,27.62
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-04,27.43
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-05,24.49
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-06,20.3
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-07,19.81
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-08,19.5
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-09,22.58
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-10,26.17
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-11,33.92
66133,20009,Washington,DC,Washington,District of Columbia,25,2010-12,38.23
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-01,43
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-02,46.7
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-03,45.34
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-04,47.03
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-05,48.8
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-06,51.89
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-07,53.76
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-08,55.1
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-09,52.88
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-10,46.78
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-11,40.72
66133,20009,Washington,DC,Washington,District of Columbia,25,2011-12,36.96
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-01,30.28
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-02,24.26
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-03,21.94
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-04,15.49
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-05,13.53
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-06,11.32
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-07,8.53
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-08,7.29
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-09,5.86
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-10,5.42
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-11,5.22
66133,20009,Washington,DC,Washington,District of Columbia,25,2012-12,4.69
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-01,5.27
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-02,5.17
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-03,5.31
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-04,4.97
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-05,5
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-06,4.79
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-07,4.13
66133,20009,Washington,DC,Washington,District of Columbia,25,2013-08,4.14
