RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianValuePerSqft
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-04,322
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-05,324
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-06,326
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-07,326
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-08,327
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-09,328
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-10,328
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-11,328
66146,20024,Washington,DC,Washington,District of Columbia,5158,2012-12,333
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-01,342
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-02,350
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-03,354
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-04,358
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-05,362
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-06,368
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-07,372
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-08,374
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-09,379
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-10,387
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-11,393
66146,20024,Washington,DC,Washington,District of Columbia,5158,2013-12,395
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-01,396
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-02,399
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-03,400
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-04,401
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-05,404
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-06,408
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-07,410
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-08,410
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-09,410
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-10,414
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-11,417
66146,20024,Washington,DC,Washington,District of Columbia,5158,2014-12,418
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-01,419
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-02,419
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-03,420
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-04,422
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-05,424
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-06,422
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-07,427
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-08,439
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-09,448
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-10,450
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-11,452
66146,20024,Washington,DC,Washington,District of Columbia,5158,2015-12,451
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-01,450
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-02,451
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-03,450
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-04,449
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-05,452
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-06,455
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-07,458
66146,20024,Washington,DC,Washington,District of Columbia,5158,2016-08,461
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-04,
66155,20037,Washington,DC,Washington,District of Columbia,5557,1996-05,
