,Stat,ML#,Address,List Price,Close Price,Close Date,Bedrooms,Baths Full,Baths Half,Levels,Fireplaces,Basement Y/N,Acres,Year Built,DOMP,Total Taxes,Tax Total Living Area,Zip
689,Sold,DC7173775DC7173775,3125 Beech St Nw,"$975,000","$975,000",04-Jun-2010,4,4,1,4,2,Yes,0.256,1950,195,"$12,722","4,126",20015
690,Sold,DC7326930DC7326930,3932 Livingston St Nw,"$774,900","$875,000",08-Jun-2010,3,3,1,4,1,Yes,0.103,1925,6,"$7,462","2,337",20015
691,Sold,DC7271642DC7271642,3707 Ingomar St Nw,"$939,000","$915,000",10-Jun-2010,3,3,2,4,3,No,0.045,1976,75,"$8,856","3,306",20015
692,Sold,DC7280499DC7280499,3640 Jenifer St Nw,"$789,000","$829,640",10-Jun-2010,5,3,0,3,1,Yes,0.059,1936,11,"$6,581","1,678",20015
693,Sold,DC7282515DC7282515,2777 Unicorn Ln Nw,"$1,225,000","$1,140,000",11-Jun-2010,5,4,2,4,1,Yes,0.074,1976,35,"$9,329",,20015
694,Sold,DC7273792DC7273792,5440 31st St Nw,"$899,000","$915,000",15-Jun-2010,4,3,0,3,1,Yes,0.108,1928,5,"$6,934","2,022",20015
695,Sold,DC7282084DC7282084,6451 Barnaby St Nw,"$1,089,000","$1,060,000",15-Jun-2010,4,2,1,3,1,Yes,0.208,1935,26,"$6,838","2,304",20015
696,Sold,DC7290228DC7290228,3828 Livingston St Nw,"$809,900","$869,000",15-Jun-2010,3,2,1,3,1,Yes,0.09,1916,7,"$6,622","1,348",20015
697,Sold,DC7337430DC7337430,6139 Utah Ave Nw,"$885,000","$885,000",16-Jun-2010,4,3,1,4,1,Yes,0.118,1932,6,"$7,815","3,000",20015
698,Sold,DC7312904DC7312904,7057 31st St Nw,"$739,000","$725,000",18-Jun-2010,3,2,1,2,2,Yes,0.187,1954,32,"$6,231","1,823",20015
699,Sold,DC7311025DC7311025,6620 31st Pl Nw,"$1,369,000","$1,369,000",21-Jun-2010,5,4,1,4,2,Yes,0.192,1941,7,"$8,324","2,829",20015
700,Sold,DC7290067DC7290067,6355 31st St Nw,"$720,000","$720,000",22-Jun-2010,3,2,0,3,1,Yes,0.166,1935,29,"$6,046","1,726",20015
701,Sold,DC7288754DC7288754,6671 32nd St Nw,"$844,000","$850,000",24-Jun-2010,5,4,1,3,1,Yes,0.147,1940,32,"$7,653",,20015
702,Sold,DC7302996DC7302996,5935 Utah Ave Nw,"$775,000","$813,000",24-Jun-2010,3,2,1,4,1,Yes,0.226,1935,5,"$6,480","3,157",20015
703,Sold,DC7305264DC7305264,6934 33rd St Nw,"$848,990","$841,500",24-Jun-2010,4,2,2,4,2,Yes,0.165,1942,31,"$6,464","1,835",20015
