RegionID,RegionName,City,State,Metro,CountyName,SizeRank,MedianSoldPricePerSqft,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-06,432.3361
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-07,447.2318
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-08,446.3385
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-09,459.4203
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-10,458.4935
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-11,410.0592
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2006-12,380.8914
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-01,362.1346
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-02,360.8542
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-03,332.183
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-04,365.4931
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-05,365.7266
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-06,417.4832
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-07,442.9593
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-08,465.5821
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-09,446.793
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-10,414.7129
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-11,397.0877
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2007-12,379.8259
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-01,400.7203
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-03,323.2458
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-04,367.2754
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-05,402.3597
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-06,426.9955
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-07,438.601
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-08,417.8339
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-09,384.1293
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-10,356.4671
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-11,360.7518
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2008-12,398.2694
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-01,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-02,
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,268,2009-03,350.7951
