RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianSoldPrice
121808,West End,Washington,DC,Washington,District of Columbia,3047,1998-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1998-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,1999-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2000-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-06,215000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2001-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2002-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2003-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-05,600000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-07,411025
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-10,510000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2004-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-01,439500
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-03,520269.2
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-04,565382.4
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-05,534425
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-08,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-10,411500
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2005-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-04,515000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-06,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-07,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-08,625000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-09,656405.9
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-10,696106.5
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-11,742687.5
121808,West End,Washington,DC,Washington,District of Columbia,3047,2006-12,664315.5
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-01,676220.5
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-03,658746.2
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-04,660475
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-05,643958.8
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-06,689475
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-07,622525
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-08,600000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-09,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-10,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-11,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2007-12,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-01,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-02,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-03,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-04,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-05,
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-06,575000
121808,West End,Washington,DC,Washington,District of Columbia,3047,2008-07,
