RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgAllYoY
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-08,0.040912
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-09,0.036927
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-10,0.033944
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-11,0.031219
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2010-12,0.032929
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-01,0.026841
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-02,0.01836
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-03,0.003156
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-04,-0.00289
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-05,-0.00838
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-06,-0.01095
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-07,-0.01071
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-08,-0.00881
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-09,-0.00621
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-10,-0.00383
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-11,0.000481
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2011-12,0.001918
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-01,0.007194
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-02,0.015625
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-03,0.028074
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-04,0.031923
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-05,0.034533
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-06,0.03513
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-07,0.042088
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-08,0.048546
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-09,0.058682
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-10,0.063507
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-11,0.067003
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2012-12,0.066746
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-01,0.067857
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-02,0.067929
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-03,0.069915
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-04,0.072416
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-05,0.076797
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-06,0.082055
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,316,2013-07,0.084237
