RegionName,City,State,Metro,CountyName,SizeRank,Month,MedianListingPrice
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-07,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-08,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-09,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-10,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-11,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2010-12,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-01,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-02,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-03,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-04,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-05,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-06,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-07,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-08,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-09,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-10,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-11,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2011-12,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-01,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-02,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-03,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-04,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-05,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-06,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-07,
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-08,539500
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-09,529950
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-10,568500
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-11,579450
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2012-12,527337.5
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-01,528775
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-02,536450
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-03,549950
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-04,549900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-05,599000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-06,599900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-07,599900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-08,599900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-09,656500
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-10,687000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-11,649999.5
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2013-12,685000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-01,649999
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-02,550000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-03,597000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-04,640000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-05,619999
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-06,624900
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-07,644000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-08,672000
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-09,672250
Capitol Hill,Washington,DC,Washington,District of Columbia,311,2014-10,649450
