RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,Zhvi
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2001-12,119700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-01,120200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-02,120800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-03,121600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-04,123000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-05,125200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-06,127500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-07,127600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-08,126500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-09,125700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-10,125200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-11,123100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2002-12,120800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-01,119200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-02,118200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-03,117100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-04,117000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-05,117300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-06,117600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-07,118300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-08,120100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-09,122800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-10,125800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-11,129600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2003-12,135000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-01,141300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-02,146700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-03,151900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-04,157400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-05,160900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-06,163100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-07,165600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-08,168500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-09,171600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-10,174400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-11,176700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2004-12,178200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-01,179700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-02,181300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-03,183400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-04,185400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-05,188100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-06,191400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-07,193400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-08,195100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-09,198500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-10,203000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-11,206400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2005-12,208000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-01,209200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-02,213200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-03,218500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-04,221600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-05,223500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-06,226800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-07,231500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-08,234600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-09,236000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-10,236900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-11,239400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2006-12,242700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-01,245000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-02,245400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-03,245500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-04,246800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-05,249300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-06,252000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-07,254300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-08,256100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-09,256600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-10,255900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-11,254600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2007-12,251700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-01,247900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-02,244900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-03,242400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-04,239700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-05,238500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-06,238100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-07,237000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-08,234700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-09,231200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-10,227200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-11,223100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2008-12,219300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-01,217100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-02,216900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-03,217800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-04,217700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-05,214100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-06,207500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-07,200300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-08,195400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-09,193600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-10,194500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-11,195600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2009-12,199300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-01,204300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-02,206200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-03,203800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-04,201600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-05,199600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-06,197400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-07,196600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-08,196500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-09,195300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-10,191900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-11,189400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2010-12,188000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-01,187000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-02,184900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-03,183100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-04,182000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-05,181600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-06,180200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-07,178300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-08,177200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-09,176500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-10,175100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-11,174100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2011-12,174200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-01,174000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-02,172300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-03,171100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-04,170100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-05,169000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-06,169700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-07,172100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-08,175100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-09,178000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-10,180900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-11,182500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2012-12,182600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-01,182200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-02,183900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-03,185600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-04,186500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-05,188600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-06,191000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-07,191600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-08,191900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-09,192600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-10,192300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-11,193900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2013-12,197500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-01,200700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-02,202400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-03,205300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-04,209900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-05,215400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-06,220900
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-07,224200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-08,223800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-09,223400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-10,225100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-11,225000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2014-12,221300
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-01,218400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-02,217800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-03,218000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-04,218800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-05,221800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-06,227200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-07,234700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-08,241700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-09,246800
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-10,254200
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-11,261500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2015-12,264500
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-01,262700
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-02,262100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-03,263400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-04,266400
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-05,268100
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-06,270600
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-07,274000
121675,Benning,Washington,DC,Washington,District of Columbia,4490,2016-08,277000
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-04,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-05,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-06,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-07,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-08,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-09,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-10,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-11,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1996-12,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-01,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-02,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-03,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-04,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-05,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-06,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-07,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-08,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-09,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-10,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-11,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1997-12,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-01,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-02,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-03,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-04,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-05,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-06,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-07,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-08,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-09,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-10,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-11,
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1998-12,102200
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-01,103600
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-02,103500
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-03,101900
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-04,99700
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-05,98100
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-06,97200
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-07,95800
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-08,94300
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-09,92600
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-10,90700
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-11,90100
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,1999-12,89800
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-01,88500
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-02,87200
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-03,86900
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-04,86700
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-05,88100
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4579,2000-06,90800
