RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctTransactions
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-03,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-05,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-08,27.2727
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-09,11.2299
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-10,20.7576
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2010-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-03,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-05,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-08,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-09,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-10,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2011-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-03,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-05,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-08,9.0909
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-09,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-10,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2012-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-03,5.2632
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-04,7.0691
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-05,3.7061
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-07,3.8462
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-08,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-09,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-10,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2013-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-03,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-05,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-08,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-09,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-10,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2014-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-03,9.0909
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-05,16.0839
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-08,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-09,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-10,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-11,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2015-12,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-01,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-02,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-03,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-04,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-05,9.0909
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-06,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-07,
121756,Marshall Heights,Washington,DC,Washington,District of Columbia,1928,2016-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1998-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,1999-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2000-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2001-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2002-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-08,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-09,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-10,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-11,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2003-12,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-01,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-02,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-03,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-04,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-05,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-06,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-07,
403486,Barney Circle,Washington,DC,Washington,District of Columbia,2021,2004-08,
