,Rank,Rank_Year,School,School URL,District,District URL,City,City URL,Zip,County,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score,Rank Change from Prior Year,SchoolDigger Star Rating
27,28,2009-10,West Ec,https://www.schooldigger.com/go/DC/schools/0003000067/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,No,No,No,265,23.0,11.5,72.8,71.7,0.0,0.8,22.6,,,4.9,48.2,,3
28,29,2009-10,Sousa Middle School,https://www.schooldigger.com/go/DC/schools/0003000019/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20019,District Of Columbia,06,8,Yes,No,No,No,267,25.0,10.6,83.5,98.9,0.0,0.4,0.7,,,0.0,46.1,,3
29,30,2009-10,Eliot Hine Middle School,https://www.schooldigger.com/go/DC/schools/0003000151/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,06,8,Yes,No,No,No,267,26.0,10.2,92.9,98.1,0.0,0.0,1.9,,,0.0,44.6,,3
30,31,2009-10,Friendship Pcs Tech Prep,https://www.schooldigger.com/go/DC/schools/0000800422/school.aspx,Friendship Pcs,https://www.schooldigger.com/go/DC/district/00008/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20032,District Of Columbia,06,12,Yes,Yes,No,No,148,8.0,18.5,79.7,98.6,0.0,0.0,0.0,,,1.4,44.5,,2
31,32,2009-10,Tree Of Life Community Pcs,https://www.schooldigger.com/go/DC/schools/0004000258/school.aspx,Tree Of Life Pcs,https://www.schooldigger.com/go/DC/district/00040/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,8,Yes,Yes,No,No,266,21.0,12.6,93.2,100.0,0.0,0.0,0.0,,,0.0,44.0,,2
32,33,2009-10,Lasalle Backus Ec,https://www.schooldigger.com/go/DC/schools/0003000042/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,No,No,No,311,33.0,9.4,90.4,83.3,0.0,0.0,16.4,,,0.3,42.8,,2
33,34,2009-10,Center City Brightwood Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300400/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,Yes,No,No,0,21.0,0.0,,,,,,,,,41.6,,2
34,35,2009-10,Hope Community Pcs Tolson Campus,https://www.schooldigger.com/go/DC/schools/0005100386/school.aspx,Hope Community PCS,https://www.schooldigger.com/go/DC/district/00051/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20017,District Of Columbia,PK,8,Yes,Yes,No,No,400,26.0,15.3,68.8,96.5,0.0,0.0,3.3,,,0.3,39.2,,2
35,36,2009-10,School Without Walls At Francis Stevens,https://www.schooldigger.com/go/DC/schools/0003000149/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20037,District Of Columbia,PK,8,No,No,No,No,225,21.0,10.7,68.9,88.9,0.0,4.0,4.4,,,2.7,37.6,,2
36,37,2009-10,Truesdell Ec,https://www.schooldigger.com/go/DC/schools/0003000075/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20011,District Of Columbia,PK,8,Yes,No,No,No,420,43.0,9.7,82.1,51.7,0.0,2.6,45.7,,,0.0,37.3,,2
37,38,2009-10,Walker Jones Ec,https://www.schooldigger.com/go/DC/schools/0003000070/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20001,District Of Columbia,PK,8,Yes,No,No,No,224,33.0,6.7,92.4,98.7,0.0,0.4,0.9,,,0.0,36.6,,2
38,39,2009-10,Burroughs Ec,https://www.schooldigger.com/go/DC/schools/0003000107/school.aspx,District Of Columbia Public Schools,https://www.schooldigger.com/go/DC/district/00030/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,8,Yes,No,No,No,316,34.0,9.2,77.5,88.0,0.0,0.0,12.0,,,0.0,34.2,,2
39,40,2009-10,Howard Road Academy Pcs Mlk Campus,https://www.schooldigger.com/go/DC/schools/0002900425/school.aspx,Cedar Tree Pcs,https://www.schooldigger.com/go/DC/district/00029/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20020,District Of Columbia,07,8,(n/a),Yes,(n/a),No,0,47.0,0.0,,,,,,,,,33.6,,2
40,41,2009-10,Ideal Academy Pcs North Capitol Street Campus Elementary School,https://www.schooldigger.com/go/DC/schools/0001200401/school.aspx,Ideal Academy Pcs,https://www.schooldigger.com/go/DC/district/00012/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20002,District Of Columbia,PK,8,Yes,Yes,No,No,285,33.0,8.6,81.1,95.4,0.0,1.1,3.5,,,0.0,33.5,,2
41,42,2009-10,Center City Capitol Hill Campus Pcs,https://www.schooldigger.com/go/DC/schools/0007300393/school.aspx,Center City Pcs,https://www.schooldigger.com/go/DC/district/00073/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20003,District Of Columbia,PK,8,Yes,Yes,No,No,202,57.0,3.5,58.9,98.0,0.0,0.0,0.0,,,2.0,33.2,,2
42,43,2009-10,Perry Street Prep Pcs,https://www.schooldigger.com/go/DC/schools/0001100225/school.aspx,Perry Street Preparatory Pcs,https://www.schooldigger.com/go/DC/district/00011/search.aspx,Washington,https://www.schooldigger.com/go/DC/city/Washington/search.aspx,20018,District Of Columbia,PK,12,Yes,Yes,No,No,741,66.0,11.2,71.8,97.7,0.0,0.3,2.0,,,0.0,30.3,,1
