RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,PctOfHomesIncreasingInValues
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-03,14.79
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-04,18.7
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-05,21.99
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-06,25.47
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-07,30.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-08,36.32
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-09,39.51
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-10,43.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-11,46.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2009-12,48.81
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-01,50.11
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-02,51.28
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-03,50.84
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-04,47.15
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-05,49.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-06,51.55
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-07,51.2
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-08,50.93
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-09,47.13
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-10,43.83
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-11,39.22
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2010-12,35.49
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-01,31.69
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-02,28.12
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-03,29.36
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-04,28.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-05,26.58
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-06,24.12
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-07,23.28
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-08,25.39
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-09,29.63
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-10,38.06
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-11,45.59
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2011-12,50.34
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-01,56.83
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-02,63.41
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-03,67.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-04,78.03
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-05,83.02
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-06,87.44
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-07,89.96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-08,92.76
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-09,94.72
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-10,95.05
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-11,95.33
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2012-12,96.22
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-01,95.93
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-02,95.62
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-03,95.87
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-04,95.74
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-05,96.08
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-06,96.22
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-07,96.74
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-08,96.79
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-09,96.24
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-10,96.66
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-11,96.73
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2013-12,95.98
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-01,96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-02,95.5
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-03,95.1
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-04,93.96
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-05,90.4
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-06,82.35
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-07,76.44
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-08,71.88
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-09,65.76
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-10,59.73
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-11,57.6
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2014-12,56.17
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-01,55.17
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-02,57.46
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-03,60.32
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-04,62.63
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-05,64.43
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-06,67.3
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-07,68.88
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-08,62.43
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-09,67.27
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-10,70.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-11,71.55
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2015-12,86.88
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2016-01,86.55
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2016-02,83.86
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2016-03,77.57
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2016-04,71.68
121697,Columbia Heights,Washington,DC,Washington,District of Columbia,241,2016-05,69.43
