RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Month,ZhvAvgYoY
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-03,0.017411
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-04,0.020287
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-05,0.021285
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-06,0.019988
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-07,0.022825
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-08,0.026075
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-09,0.033041
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-10,0.036531
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-11,0.04
66133,20009,Washington,DC,Washington,District of Columbia,30,2012-12,0.041149
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-01,0.043249
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-02,0.044674
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-03,0.046708
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-04,0.048805
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-05,0.051703
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-06,0.055389
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-07,0.058179
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-08,0.061545
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-09,0.066338
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-10,0.075212
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-11,0.083595
66133,20009,Washington,DC,Washington,District of Columbia,30,2013-12,0.089219
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-01,0.089724
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-02,0.08959
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-03,0.090402
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-04,0.09211
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-05,0.090511
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-06,0.086586
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-07,0.081717
66133,20009,Washington,DC,Washington,District of Columbia,30,2014-08,0.076117
